revision;ssmergeConfs;linedbasedConfs;ssmergeLOC;linebasedLOC;ssmergeFiles;linebasedFiles;semanticConfs;jdimeConfs;jdimeLOC;jdimeFiles;equalConfs
E:\Mestrado\FPFNAnalysis\projects\andlytics/revisions/rev_66f86ad_333f857/rev_66f86ad-333f857.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\AntennaPod/revisions/rev_cdd9a0d_a482899/rev_cdd9a0d-a482899.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\antlr4/revisions/rev_33fd180_5778570/rev_33fd180-5778570.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\BroadleafCommerce/revisions/rev_32e0d2c_c78642d/rev_32e0d2c-c78642d.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\cassandra/revisions/rev_17279c7_7f5636c/rev_17279c7-7f5636c.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\cgeo/revisions/rev_35342b2_f86200e/rev_35342b2-f86200e.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\Conversations/revisions/rev_2bddcc9_bfcba91/rev_2bddcc9-bfcba91.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\groovy-core/revisions/rev_543f54f_0e7864d/rev_543f54f-0e7864d.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\k-9/revisions/rev_2261edc_1b1e8e4/rev_2261edc-1b1e8e4.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\kotlin/revisions/rev_797f9fc_63aecd2/rev_797f9fc-63aecd2.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\OG-Platform/revisions/rev_06ef6d4_3221ae3/rev_06ef6d4-3221ae3.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\netty/revisions/rev_326b88c_6d39c34/rev_326b88c-6d39c34.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\okhttp/revisions/rev_bfac340_1b571d0/rev_bfac340-1b571d0.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\OpenRefine/revisions/rev_e3fc7ab_ecca18f/rev_e3fc7ab-ecca18f.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\OpenTripPlanner/revisions/rev_2c58919_7e7510f/rev_2c58919-7e7510f.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\Osmand/revisions/rev_6b959dd_8ceaed0/rev_6b959dd-8ceaed0.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\realm-java/revisions/rev_54bf93f_620922f/rev_54bf93f-620922f.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\roboguice/revisions/rev_b78ce0f_1c3a9fc/rev_b78ce0f-1c3a9fc.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\rstudio/revisions/rev_5eeec12_cf52cc0/rev_5eeec12-cf52cc0.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\Spout/revisions/rev_d39be4e_33200ba/rev_d39be4e-33200ba.revisions;0;0;0;0;0;0;0;0;0;0;0
E:\Mestrado\FPFNAnalysis\projects\voldemort/revisions/rev_c3972b6_50f243f/rev_c3972b6-50f243f.revisions;0;0;0;0;0;0;0;0;0;0;0
